cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
49587	227.17525896253224	5.389759	1003		
54338	227.17526693076303	5.773157	1003		
57011	227.1752695019105	5.995615	1003		
31605	227.175278609468	4.0552144	1672		
19370	227.1753011589052	3.031647	15		
26504	227.1753150906552	3.6540127	1672		
16263	227.17532006529407	2.586723	-1		
25313	227.1753180722334	3.5453725	15		
17627	227.17531971563272	2.7872066	-1		
21152	227.17533474778733	3.1915035	15		
22307	227.17534223828287	3.2684062	-1		
25515	227.18331936602044	3.5930295	15		
91116	227.1834787918021	9.148194	5098		
39449	227.1864164595674	4.666774	6403		
87821	227.2004593503168	8.749419	-1		
115248	227.2004660657986	10.681439	-1	115248.0	Spectral Match to Myristoleic acid from NIST14
73652	227.20047474169863	7.3021793	9694		
101893	227.2004753947712	9.923807	9694		
99634	227.20048324851868	9.773173	-1		
76245	227.2004978303836	7.5670443	9846		
96861	227.2005039586685	9.592805	2086		
135977	227.2005246414548	11.676189	-1		
95155	227.65837252498395	9.407124	2248		
91303	227.658420563198	9.160029	2248		
43010	227.67703842339645	4.9581575	1672		
26493	227.67709625379263	3.6636686	1672		
31539	227.6771125807636	4.0607176	1672		
9670	228.05015411515305	1.5155135	3298	9670.0	2-[(ethylcarbamoyl)amino]-6-fluorobenzoic acid
39238	228.06546219439528	4.646239	-1		
